"Sample_ID","biological_replicate","extraction_ID","extraction_replicate","run","collection_year","collection_month","collection_day","location1","longitude","latitude","sample_type","time_of_day","Anoplarchus","Clupea pallasii","Cymatogaster aggregata","Hypomesus pretiosus","Lumpenus sagitta","Oligocottus","Podothecus accipenserinus","Syngnathus leptorhynchus","Ammodytes personatus","Gasterosteus aculeatus","Microgadus proximus","Oncorhynchus nerka","Pholis laeta","Hexagrammos","Oncorhynchus keta","Salvelinus","Synchirus gilli","Artedius lateralis","Enophrys bison","Gadus macrocephalus","Lepidopsetta","Leptocottus armatus","Liparis greeni","Oncorhynchus kisutch","Citharichthys stigmaeus","Myoxocephalus","Hexagrammos decagrammus","Oncorhynchus gorbuscha","Oncorhynchus tshawytscha","Clinocottus acuticeps","Platichthys stellatus","Sebastes","Brachyistius frenatus","Hemilepidotus hemilepidotus","Leptoclinus maculatus","Phytichthys chirus","Bathymaster","Aptocyclus ventricosus","Eleginus gracilis","Gadus chalcogrammus","Hippoglossoides elassodon","Limanda aspera","Mallotus villosus","Hippoglossus stenolepis","Xiphister","NA","Artedius fenestralis","Trichodon trichodon","Ronquilus jordani","Apodichthys flavidus","Anarrhichthys ocellatus","Bathymaster caeruleofasciatus","Enophrys diceraus","Sebastolobus","Hemilepidotus jordani","Ophiodon elongatus","Aulorhynchus flavidus","Nautichthys oculofasciatus","Blepsias bilobus","Microstomus pacificus","Agonidae_1","Artedius harringtoni","Clinocottus globiceps","Scorpaenichthys marmoratus","Pleuronichthys coenosus","Liparis cyclopus","Clinocottus embryum","Stichaeus punctatus","Thaleichthys pacificus","Pleuronectidae_1","Rhinogobiops nicholsii","Citharichthys sordidus","Sardinops sagax","Anoplopoma fimbria","Oncorhynchus mykiss","Liparis mucosus","Atheresthes","Liparis florae","Agonopsis vulsa","Gymnocanthus galeatus","Zaprora silenus","Liparis pulchellus","Stenobrachius leucopsarus","Blepsias cirrhosus","Bothragonus swanii","Thunnus","Pleuronectes quadrituberculatus","Liparis fucensis"
"e00546-A","e00546","e00546",1,"A",2021,7,7,"59",-157.242,56.5811,"sample","21:33",0.127671814842678,0,0,0,0,0,0,0,0,0,0,0,0,0.417843076514582,0,0,0,0,0,0.00212417577554543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138115679072443,0.311899809709253,0,0,0,0,0,0,0,0,0,0.000177014647962119,0,0,0,0,0,0,0,0,0,0,0,0.00216842943753596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"e00547-A","e00547","e00547",1,"A",2021,7,7,"59",-157.242,56.5811,"sample","21:33",0,0,0,0,0,0,0,0,0,0,0,0,0,7.38061849582995e-05,0,0,0,0,0,0.760720348365193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.239205845449849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"e00548-A","e00548","e00548",1,"A",2021,7,9,"UNK3",-157.2351,56.5777,"sample","7:48",0,0,0,0,0,0,0,0,0.257096069868996,0,0,0,0.0695330870003359,0.13646288209607,0,0,0,0,0,0.212210278804165,0.000293920053745381,0,0,0,0,0.0801142089351696,0,0,0,0,0,0,0,0,0.0588679879072892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108246556936513,0,0,0,0,0,0,0.0393432986227746,0,0.0378317097749412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"e00549-A","e00549","e00549",1,"A",2021,7,9,"UNK3",-157.2351,56.5777,"sample","7:48",0,0,0,0,0,0,0,0,8.4292156614827e-05,0,0,0,0.0563914527753193,0.0355291440131496,0.000379314704766721,0,0,0,0,0,0,0.000463606861381548,0.0603953302145235,0,0,0,0,0,0,0,0,0,0,0.02802714207443,0,0,0,0,0,0.787330888860792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0166055548531209,0,0,0,0,0,0,0,0,0.0147932734859021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"e00550-A","e00550","e00550",1,"A",2021,7,9,"UNK3",-157.2351,56.5777,"sample","7:48",0.0265928579181591,0,0,0,0,0,0,0,0.0335757444191179,0,0,7.23615181446507e-05,0.090307174644524,0.0129527117478925,0,0,0,0.020912478743804,3.61807590723253e-05,0.0158109917146062,0,0,0,0,0,0.021238105575455,0,0,0,0,0,0,0,0.0496400014472304,0,0,0,0,0,0.649842613698035,0,0,0,0,0,0,0,0.0317667064655016,0,0.0115416621440718,0,0,0,0,0,0,0,0,0.022685335938348,0,0.0130250732660371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"e00551-A","e00551","e00551",1,"A",2021,7,9,"60",-159.298,54.9205,"sample","8:20",0,9.73378108726335e-05,0,0,0,0,0,0,0.190295420255998,0,0,0,0.10293473499781,0,0,0.0127025843188787,0,0,0,0.135396894923833,0,0,0,0.313768433347934,0,0.0770428773056894,0.0608361317953959,0,0,0,0,0,0,0.0344089161434759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0725166691001119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"e00552-A","e00552","e00552",1,"A",2021,7,9,"60",-159.298,54.9205,"sample","8:20",0,0.0778514257128564,0,0,0,0,0,0,0.209229614807404,0,0,0,0.143946973486743,0.137693846923462,0,0,0,0,0,0.0176338169084542,0,0,0,0.0367058529264632,0,0.0947348674337169,0.115432716358179,0,0,0,0,0,0,0,0.166770885442721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"e00553-A","e00553","e00553",1,"A",2021,7,9,"60",-159.298,54.9205,"sample","8:20",0,0,0,0,0,0,0,0,0.20846830171217,0,0,0,0,0.282816597254358,0,0,0,0,0,0,0,0,0,0.23623322535863,0,0,0,0,0,0,0,0,0,0.267700138824618,0,0,0.000539873515347833,0,0,0.00424186333487583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"e00554-A","e00554","e00554",1,"A",2021,7,9,NA,NA,NA,"sample","18:59",0.0116332116788321,0,0,0.00296532846715328,0,0.0200729927007299,0,0,0.0206052311435523,0,0,0,0,0.355155109489051,0,0,0,0.0451642335766423,0,0.00152068126520681,0,0,0.0300334549878346,0.000608272506082725,0,0,0.0406782238442822,0,0,0.0618156934306569,0,0,0,0,0,0,0,0.00517031630170316,0,0.195179440389294,0,0,0,0,0.104242700729927,0,0,0.105155109489051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"e00555-A","e00555","e00555",1,"A",2021,7,9,NA,NA,NA,"sample","18:59",0,0,0,0.0228758169934641,0,0.0268542199488491,0,0,0.0132139812446718,0,7.10429099175902e-05,0,0.000497300369423132,0.52770673486786,0,0,0,0,0,0,0,0,0.0873117362887184,0.0183290707587383,0,0,0,0,0,0.0199630576868429,0.0163398692810458,0.0383631713554987,0,0.0361608411480534,0,0,0,0,0,0.118641659562376,0,0,0,0,0.0264279624893436,0,0,0.0294828076157999,0,0.0177607274793976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
